sabha,work_id,work_category,work,state,ida,mp_name,elected_nominated,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,expenditure_total_rs,expenditure_transaction_count,expenditure_first_date,expenditure_last_date,expenditure_vendor_count,expenditure_payment_status_count,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_total_rs,consent_event_count,consent_calamity_type_count,consent_calamity_name_count,recommendation_sanction_gap_rs,expenditure_to_sanction_ratio,recommendation_to_sanction_days,sanction_to_completion_days,completed,sr_no,image
Rajya Sabha,WS/MP106/2024-2025/19237,Normal/Others,"WS/MP106/2024-2025/19237-Purchase of hearse van (Four, three and two wheelers)",Madhya Pradesh,MANDLA(DISTRICT COLLECTOR MANDLA_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"1 number Shav Vahan (Hearse Van) for District hospital Mandla Model No. Ashok Lyland Dost Strong (LE) with modification including GST, Registration & taxes, Mandla",2023-09-12,1066076.0,2024-07-06,1066076.0,Vendor Identification,,,,,,,,,220563957.11,,,,,0.0,,298,,0,891,
Rajya Sabha,WS/MP106/2023-2024/19263,Normal/Others,WS/MP106/2023-2024/19263-Construction of boundary walls of existing public and community buildings,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Pipariya (Mushran), Janpad Panchayat Gotegaon, District Narsighpur ke gram Pipariya (Mushran) main Govt. Middle School parisar ki Boundary wall niraman, Vidhan sabha Narsinghpur, District Narsinghpur",2023-09-12,200000.0,2024-02-26,200000.0,Physical Inspection,,,,,,,2026-02-07,200000.0,220563957.11,,,,,0.0,,167,712.0,1,892,
Rajya Sabha,WS/MP106/2023-2024/19267,Normal/Others,WS/MP106/2023-2024/19267-Construction of community centers and community halls,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Themi, Janpad Panchayat Gotegaon ke Bazar mohalla main Samudayik Bhavan nirman, Vidhan Sabha Gotegaon, District Narsinghpur",2023-09-12,400000.0,2024-02-20,400000.0,Vendor Identification,,,,,,,,,220563957.11,,,,,0.0,,161,,0,893,
Rajya Sabha,WS/MP106/2023-2024/19289,Normal/Others,WS/MP106/2023-2024/19289-Providing drains and gutters for public drainage,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Govt. Mahila Mahavidyalaya ke gate ke pas se Sarkari Nale ke baju me Nala Gahrikaran and Protection wall banane hetu, Mushran ward, Vidhan Sabha Narsinghpur, District Narsinghpur",2023-09-12,200000.0,2023-12-27,200000.0,Vendor Identification,199809.0,1.0,2025-02-13,2025-02-13,1.0,1.0,,,220563957.11,,,,,0.0,0.999045,106,,0,894,
Rajya Sabha,WS/MP106/2023-2024/19291,Normal/Others,WS/MP106/2023-2024/19291-Purchase Books for Library,Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Jila Adhivakta Sangh Narsinghpur ki library ke liye Pustako ki Kharid, Vidhan Sabha Narsinghpur, District Narsinghpur",2023-09-12,50000.0,2024-02-27,50000.0,Physical Inspection,,,,,,,2025-03-10,50000.0,220563957.11,,,,,0.0,,168,377.0,1,895,
Rajya Sabha,WS/MP106/2023-2024/19294,Normal/Others,WS/MP106/2023-2024/19294-Construction of community centers and community halls,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram panchayat Pahadi kheda, Janpad Panchayat Jabalpur ke gram Pahadi kheda me Shala bhavan ke pas Samudayik Bhavan Nirman, Vidhan Sabha Panagar, District Jabalpur",2023-09-12,300000.0,2023-10-06,300000.0,Vendor Identification,,,,,,,,,220563957.11,,,,,0.0,,24,,0,897,
Rajya Sabha,WS/MP106/2023-2024/19295,Normal/Others,WS/MP106/2023-2024/19295-Construction of buildings for community cultural activities,Madhya Pradesh,RAISEN(DISTRICT COLLECTOR RAISEN_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Karhaiya Kalan, Janpad Panchayat Udaipura ke gram Ghuarpur me Sarvajanik Chabutara nirman, Vidhan Sabha Udaipura, district Raisen",2023-09-12,200000.0,2023-12-29,200000.0,Vendor Identification,,,,,,,,,220563957.11,,,,,0.0,,108,,0,898,
Rajya Sabha,WS/MP001/2023-2024/19312,Normal/Others,"WS/MP001/2023-2024/19312-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction Work of PCC road in the road going from Vivek Vihar Private School to Vibhutinagar Road(Upto Musapur Chowk) in Chakpahar Village of Chakpahar Panchayat of Morwa Assembly of Samastipur District(Estimated Cost 15 Lakhs),2023-09-12,1491746.0,2023-10-17,1491746.0,Physical Inspection,,,,,,,2024-01-10,1491746.0,237168443.49,,,,,0.0,,35,85.0,1,899,
Rajya Sabha,WS/MP001/2023-2024/19313,Normal/Others,"WS/MP001/2023-2024/19313-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,Construction Work of PCC Road from Anganwadi Center to Cremation Ground in Kamtaul in Ward No.2 of Chakpahar Village of Chakpahar Panchayat of Morwa Block of Morwa Assembly of Samastipur District (Estimated Cost 15 Lakhs),2023-09-12,1491175.0,2023-10-17,1491175.0,Physical Inspection,,,,,,,2024-01-08,1491175.0,237168443.49,,,,,0.0,,35,83.0,1,900,Images
Rajya Sabha,WS/MP052/2023-2024/19505,Normal/Others,"WS/MP052/2023-2024/19505-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,"PCC road construction work in village Lachuchak of village Panchayat Raj Saksohra West of Block Belakshi, via Sadhu Baba's house on NH 30, till Banaras Mahato, Kamlesh Prasad's house, till Kuwa. Estimated Amount Rs. 1450000.",2023-09-13,1435329.0,2023-10-25,1435329.0,Physical Inspection,,,,,,,2024-03-03,1435329.0,235263957.11,,,,,0.0,,42,130.0,1,901,Images
Rajya Sabha,WS/MP052/2024-2025/19523,Normal/Others,WS/MP052/2024-2025/19523-Construction of boundary walls of existing public and community buildings,Bihar,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,Construction work of boundary wall and shed of the cremation ground next to Haisi drain located in village Mushari ward number 02 of Gram Panchayat Raj Dhurmi Dharampur of Lauria block of West Champaran district. Established Amount Rs. 800000/-.,2023-09-13,792961.0,2024-06-10,792961.0,Physical Inspection,,,,,,,2024-09-20,792961.0,235263957.11,,,,,0.0,,271,102.0,1,902,
