sabha,work_id,work_category,work,state,mp_name,constituency,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,completed,sr_no,ida,expenditure_date,fund_disbursed_amount_rs,expenditure_sr_no,expenditure_state,expenditure_work,expenditure_ida,expenditure_mp_name,expenditure_constituency,vendor_name,payment_status,image,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_amount_rs,recommendation_sanction_amount_deviation_rs,sanctioned_to_recommended_ratio,disbursement_ratio,remaining_amount_rs,recommendation_to_sanction_days,sanction_to_completion_days,anomaly_score,is_anomaly,anomaly_component,financial_component,execution_component,completeness_component,risk_score,risk_level,risk_indicators,similar_works
Lok Sabha,WS/MP300/2025-2026/157094,Normal/Others,WS/MP300/2025-2026/157094-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Bolgarh, Construction of Library Hall of Village-Deuli, GP-Gopalpur",2024-12-17,500000.0,2025-06-21,,,0,12033,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,186,,-0.09467991208311827,False,0.08009947936108672,0.0,0.26635514018691586,0.75,11.75,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP18157/2024-2025/157095,Normal/Others,WS/MP18157/2024-2025/157095-Construction of public toilets and bathrooms,Punjab,AMRINDER SINGH RAJA WARRING,Ludhiana,"Construction of Bathroom in Cremation ground at Dholewal, Ward no-50, Distt. Ludhiana",2024-12-05,450000.0,2025-02-10,,,0,12034,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),,,,,,,,,,,,,,147000000.0,,,,,,67,,-0.10206314832435659,False,0.0427812661136561,0.0,0.08099688473520249,0.75,7.1,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP18264/2024-2025/157097,Normal/Others,"WS/MP18264/2024-2025/157097-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ADV K FRANCIS GEORGE,Kottayam,KFG/MPLADS/01/24 Concreating of Kolladu Boat Jetty Malamelkavu Road,2024-12-20,902377.0,2025-02-25,,,0,12035,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),,,,,,,,,,,,,,188722256.11,,,,,,67,,-0.0676612317466368,False,0.21666410244998102,0.0,0.08099688473520249,0.75,15.8,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP18264/2024-2025/157100,Normal/Others,WS/MP18264/2024-2025/157100-Purchase of vans and buses for educational institutions,Kerala,ADV K FRANCIS GEORGE,Kottayam,"KFG/MPLADS/02/24 Providing Vehicle (Bolero G6.2) Jawahar Navodaya Vidyalaya, Vadavathoor",2024-12-20,1100000.0,2025-03-13,,,0,12036,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),,,,,,,,,,,,,,188722256.11,,,,,,83,,-0.055616764909269034,False,0.2775422820452624,0.0,0.1059190031152648,0.75,19.22,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2024-2025/157101,Normal/Others,WS/MP300/2024-2025/157101-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library Hall of Village, Gadamanitri, GP-Gadamanitri",2024-12-17,500000.0,2025-02-28,,,0,12037,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,73,,-0.10613177450375821,False,0.022216590350074804,0.0,0.09034267912772585,0.75,6.22,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2024-2025/157102,Normal/Others,WS/MP300/2024-2025/157102-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library in Dalatola Village of Kunjuri GP located near Deuli GP",2024-12-17,500000.0,2025-03-29,,,0,12038,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,102,,-0.10715727961478155,False,0.017033223982120104,0.0,0.13551401869158877,0.75,6.63,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2024-2025/157103,Normal/Others,WS/MP300/2024-2025/157103-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,Construction of Library in Siko village of Siko GP located near Hirapur GP,2024-12-17,500000.0,2025-02-28,,,0,12039,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,73,,-0.10613177450375821,False,0.022216590350074804,0.0,0.09034267912772585,0.75,6.22,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP243/2024-2025/157104,Normal/Others,WS/MP243/2024-2025/157104-Purchase of hospital equipment,West Bengal,Kakoli Ghosh Dastidar,Barasat,Providing 10 nos breath analyser for Bidhannagar Police Commissionerate,2024-12-05,269980.0,2025-01-13,,,0,12040,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),,,,,,,,,,,,,,147000000.0,,,,,,39,,-0.09800459898396635,False,0.06329500897805876,0.0,0.037383177570093455,0.75,7.48,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP243/2024-2025/157105,Normal/Others,WS/MP243/2024-2025/157105-Purchase of hospital equipment,West Bengal,Kakoli Ghosh Dastidar,Barasat,Providing 4 nos breath analyser for Barasat Police District. Recommended amount,2024-12-05,174050.0,2025-02-06,,,0,12041,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),,,,,,,,,,,,,,147000000.0,,,,,,63,,-0.1082408345332933,False,0.011556447648122982,0.0,0.07476635514018691,0.75,5.45,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP640/2025-2026/157108,Normal/Others,"WS/MP640/2025-2026/157108-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,Faggan Singh Kulaste,Mandla(St),janpad panchayat Dindori ke gram panchyat vikrampur ke poshak gram barkhoh me cc road ka nirman,2024-12-05,500000.0,2025-06-25,,,0,12042,DINDORI(District Collector Dindori_IDA),,,,,,,,,,,,,,151861648.41,,,,,,202,,-0.08987815284448364,False,0.10436974098827431,0.0,0.29127725856697817,0.75,13.34,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP18309/2024-2025/157109,Normal/Others,WS/MP18309/2024-2025/157109-Construction of footpaths and pedestrian ways,Meghalaya,SALENG A SANGMA,Tura,Construction of footpath (earth work),2024-12-05,200000.0,2025-01-14,,,1,12043,NORTH GARO HILLS(DEPUTY COMMISSIONER NORTH GARO HILLS RESUBELPARA_IDA),,,,,,,,,,,Images,2026-04-23,200000.0,147000000.0,,,,,,40,464.0,0.06303943933104605,True,0.8772843718673924,0.0,0.5389408099688473,0.25,53.2,MEDIUM,"['High anomaly intensity', 'Extended sanction-to-completion duration']","[{'work_index': 11806, 'similarity': 0.9983}, {'work_index': 11805, 'similarity': 0.9982}, {'work_index': 10713, 'similarity': 0.9967}, {'work_index': 11803, 'similarity': 0.9962}, {'work_index': 12631, 'similarity': 0.9962}]"
Lok Sabha,WS/MP18309/2024-2025/157110,Normal/Others,WS/MP18309/2024-2025/157110-Construction of footpaths and pedestrian ways,Meghalaya,SALENG A SANGMA,Tura,Construction of footpaths (earth work),2024-12-05,200000.0,2025-01-16,,,1,12044,NORTH GARO HILLS(DEPUTY COMMISSIONER NORTH GARO HILLS RESUBELPARA_IDA),,,,,,,,,,,,2025-08-08,200000.0,147000000.0,,,,,,42,204.0,-0.008007327870835579,False,0.5181818966991736,0.0,0.2650141321614986,0.25,31.13,LOW,['Elevated anomaly intensity'],"[{'work_index': 11802, 'similarity': 0.9962}, {'work_index': 11805, 'similarity': 0.9961}, {'work_index': 11806, 'similarity': 0.996}]"
